subject_id,race,age,income_cat,educ_cat,party,ideo,political_knowledge,y
215,White,56,<50K,College degree,2,3,1,4
216,White,59,<50K,High school or less,7,2,1,5
217,Black,25,$50K-100K,High school or less,1,2,0.75,1
218,Black,32,<50K,College degree,4,2,1,2
219,White,40,Prefer not to say,High school or less,7,2,0.25,7
220,White,54,>100K,College degree,1,1,0.75,6
221,Other Race/Ethnicity,50,>100K,College degree,5,1,1,3
222,White,56,<50K,High school or less,7,2,0.75,7
223,White,71,<50K,College degree,7,2,1,7
224,White,73,<50K,College degree,2,1,0.75,4
225,White,79,>100K,Post-graduate degree,1,1,1,6
226,White,72,>100K,College degree,7,2,1,7
227,Other Race/Ethnicity,71,$50K-100K,Post-graduate degree,1,3,1,4
228,White,77,$50K-100K,High school or less,6,2,1,7
229,White,65,$50K-100K,Post-graduate degree,1,3,0.75,4
230,Other Race/Ethnicity,76,<50K,High school or less,4,2,1,7
231,Black,72,$50K-100K,Post-graduate degree,6,3,1,4
232,White,76,$50K-100K,Post-graduate degree,5,3,1,7
233,White,70,<50K,Post-graduate degree,1,1,1,3
234,White,70,$50K-100K,College degree,2,3,1,7
235,Other Race/Ethnicity,54,$50K-100K,Post-graduate degree,4,3,1,7
236,White,34,$50K-100K,High school or less,4,4,0.75,4
237,Other Race/Ethnicity,45,<50K,Post-graduate degree,2,1,1,3
238,White,71,>100K,Post-graduate degree,4,3,1,7
239,White,64,$50K-100K,Some college,2,3,1,7
240,White,30,<50K,High school or less,1,1,0.75,4
241,White,30,>100K,College degree,1,1,0.25,2
242,White,43,<50K,High school or less,7,1,0.75,1
243,White,60,Prefer not to say,College degree,6,2,0.5,7
244,White,43,>100K,Post-graduate degree,2,3,0.75,3
245,White,58,<50K,High school or less,5,3,1,2
246,White,63,<50K,College degree,2,3,1,5
247,White,32,<50K,College degree,1,1,0.5,6
248,White,59,<50K,Some college,7,2,0.75,7
249,White,40,>100K,College degree,7,2,0.75,7
250,White,56,<50K,College degree,3,3,0.75,6
251,Black,27,<50K,Some college,4,3,0,1
252,White,47,Prefer not to say,College degree,5,3,1,4
253,White,48,Prefer not to say,Some college,6,3,0.75,4
254,White,39,<50K,Post-graduate degree,1,1,1,1
255,White,48,<50K,Post-graduate degree,6,2,0.75,7
256,White,58,<50K,Some college,1,1,0.75,3
257,White,49,$50K-100K,College degree,7,2,0.75,6
258,White,59,>100K,College degree,6,3,0.75,4
259,Other Race/Ethnicity,51,<50K,College degree,2,3,0.75,7
260,White,36,<50K,High school or less,4,4,0.5,1
261,White,47,<50K,High school or less,7,2,1,7
262,White,40,<50K,High school or less,7,2,1,7
263,White,62,<50K,High school or less,6,3,0.25,1
264,White,62,<50K,College degree,3,2,1,7
265,White,53,<50K,High school or less,7,2,0.5,3
266,Other Race/Ethnicity,32,$50K-100K,High school or less,7,4,0.25,1
267,White,61,<50K,High school or less,1,1,0.75,6
268,White,24,>100K,College degree,6,2,1,7
269,White,60,>100K,College degree,4,3,0.75,7
270,Other Race/Ethnicity,50,>100K,Post-graduate degree,1,1,0.5,2
271,White,39,<50K,Post-graduate degree,4,3,1,4
272,White,51,>100K,College degree,2,3,0.75,7
273,White,61,>100K,Some college,7,2,1,4
274,Black,62,<50K,High school or less,2,1,1,3
275,Hispanic/Latino,55,>100K,College degree,4,1,1,4
276,Hispanic/Latino,36,<50K,High school or less,1,3,0.5,3
277,White,34,$50K-100K,College degree,3,2,1,7
278,White,56,$50K-100K,Post-graduate degree,6,2,0.5,7
279,White,61,<50K,College degree,1,1,0.75,5
280,White,38,$50K-100K,College degree,2,1,0.75,2
281,Other Race/Ethnicity,44,$50K-100K,College degree,6,2,1,7
282,Hispanic/Latino,48,>100K,College degree,1,1,1,7
283,White,44,<50K,High school or less,4,3,0,2
284,White,49,<50K,College degree,6,2,0.75,4
285,Hispanic/Latino,66,$50K-100K,College degree,4,2,0.5,7
286,Hispanic/Latino,27,<50K,College degree,6,3,1,7
287,White,43,<50K,College degree,5,1,1,1
288,White,29,<50K,High school or less,4,2,0.25,1
289,White,68,<50K,College degree,7,2,1,7
290,White,55,<50K,Some college,1,1,1,3
291,White,52,>100K,College degree,1,1,1,4
292,White,72,$50K-100K,High school or less,3,2,0.75,7
293,Hispanic/Latino,64,$50K-100K,High school or less,7,2,0.75,7
294,White,63,<50K,College degree,6,2,0.75,5
295,Black,59,<50K,College degree,1,2,0.75,4
296,Other Race/Ethnicity,39,<50K,Some college,1,1,0.75,1
297,White,73,>100K,Post-graduate degree,1,1,1,1
298,Other Race/Ethnicity,40,<50K,Some college,4,3,0.75,3
299,Hispanic/Latino,40,<50K,Some college,2,1,0.5,2
300,White,70,<50K,Some college,7,2,1,7
301,White,74,<50K,College degree,7,2,1,7
302,White,40,$50K-100K,College degree,7,3,0.75,7
303,White,41,>100K,Some college,6,2,0.75,7
304,White,29,<50K,College degree,1,1,0.75,3
305,White,37,<50K,College degree,4,1,0.5,3
306,White,63,<50K,Some college,7,2,0.75,3
307,White,40,>100K,Post-graduate degree,1,2,0,1
308,Black,46,>100K,Some college,4,3,0.75,7
309,Black,58,$50K-100K,Some college,1,2,0.25,7
310,White,50,<50K,Some college,3,2,0.5,5
311,White,60,$50K-100K,Some college,6,2,1,7
312,White,34,>100K,Post-graduate degree,1,1,0.5,1
313,Other Race/Ethnicity,51,<50K,College degree,1,1,0.75,2
314,White,27,$50K-100K,High school or less,1,1,0.25,4
315,Black,42,Prefer not to say,College degree,4,4,0.75,1
316,White,52,$50K-100K,Some college,1,1,0.25,7
317,Black,19,$50K-100K,Some college,2,1,0.25,5
318,White,40,>100K,Post-graduate degree,1,2,0,1
319,White,50,<50K,College degree,6,2,0.75,7
320,White,40,>100K,College degree,1,1,0.5,1
321,Other Race/Ethnicity,71,<50K,College degree,6,2,1,4
322,Black,43,<50K,High school or less,1,3,0.75,4
323,White,41,$50K-100K,College degree,5,3,1,3
324,White,61,$50K-100K,High school or less,2,3,0.5,4
325,Hispanic/Latino,50,<50K,High school or less,5,1,1,6
326,White,32,$50K-100K,College degree,2,3,0.25,4
327,White,34,>100K,College degree,7,1,0.75,2
328,Other Race/Ethnicity,53,$50K-100K,College degree,2,1,0.75,4
329,Hispanic/Latino,21,<50K,College degree,1,1,0.25,1
330,Black,31,<50K,High school or less,4,3,0.75,7
331,White,61,$50K-100K,Some college,7,2,0.75,7
332,Hispanic/Latino,30,<50K,Post-graduate degree,1,1,0.5,1
333,Black,35,>100K,College degree,1,1,0,1
334,White,56,$50K-100K,College degree,1,1,0.75,1
335,Black,27,<50K,Some college,1,3,0.25,1
336,White,23,<50K,High school or less,2,1,0.75,1
337,White,19,<50K,High school or less,5,3,0,1
338,Other Race/Ethnicity,21,>100K,College degree,2,3,0,4
339,Black,21,$50K-100K,College degree,3,3,0.25,3
340,Other Race/Ethnicity,26,$50K-100K,Post-graduate degree,5,3,0.5,4
341,White,45,Prefer not to say,College degree,7,2,1,7
342,White,36,>100K,Some college,4,3,0.25,6
343,Hispanic/Latino,33,<50K,Some college,4,4,0.75,7
344,Black,67,<50K,High school or less,1,1,0.5,7
345,White,35,>100K,Post-graduate degree,7,2,1,7
346,White,68,$50K-100K,Post-graduate degree,6,2,1,7
347,White,61,$50K-100K,College degree,4,3,1,6
348,White,40,>100K,Post-graduate degree,1,3,0,2
349,Hispanic/Latino,33,<50K,High school or less,4,1,0.25,7
350,Other Race/Ethnicity,50,<50K,Some college,4,4,0,4
351,White,26,<50K,High school or less,4,3,0.25,3
352,White,25,<50K,College degree,5,3,0.25,1
353,White,53,$50K-100K,High school or less,7,2,0.75,3
354,White,50,<50K,High school or less,4,4,0.5,7
355,Other Race/Ethnicity,34,<50K,Some college,1,1,0.5,1
356,Other Race/Ethnicity,23,$50K-100K,High school or less,2,1,0.25,1
357,White,74,<50K,High school or less,7,2,0.5,7
358,Other Race/Ethnicity,40,$50K-100K,College degree,1,3,0.75,3
359,White,22,<50K,College degree,1,1,0.25,4
360,White,22,<50K,High school or less,7,1,0.25,6
361,Hispanic/Latino,21,$50K-100K,College degree,2,3,0.5,3
362,White,39,$50K-100K,High school or less,6,2,0.25,3
363,White,65,<50K,Some college,2,2,0.75,6
364,White,52,<50K,Some college,1,3,0.5,1
365,White,55,<50K,Some college,2,1,0.5,2
366,White,41,<50K,Post-graduate degree,2,3,0.5,3
367,Other Race/Ethnicity,85,>100K,College degree,7,2,1,4
368,Black,18,Prefer not to say,High school or less,4,3,1,7
369,White,64,<50K,Some college,6,2,0.25,4
370,White,53,<50K,Some college,6,3,0.75,7
371,Other Race/Ethnicity,20,<50K,Some college,2,1,0.25,1
372,White,25,<50K,Some college,3,2,0.5,3
373,Black,41,$50K-100K,College degree,2,3,0.5,6
374,Black,43,<50K,High school or less,4,3,0.5,4
375,White,32,<50K,High school or less,6,2,0.5,4
376,White,36,<50K,College degree,7,2,0.5,4
377,Black,32,<50K,College degree,1,2,0.25,2
378,White,42,>100K,College degree,6,2,0.75,3
379,White,30,<50K,Some college,6,2,0.5,1
380,White,70,<50K,Some college,1,3,1,1
381,Hispanic/Latino,65,$50K-100K,Post-graduate degree,1,3,0.75,4
382,White,43,<50K,Some college,6,2,0.5,2
383,White,68,$50K-100K,Some college,1,3,1,1
384,Black,26,$50K-100K,High school or less,1,1,0.75,1
385,White,64,<50K,Post-graduate degree,7,2,1,7
386,White,21,<50K,College degree,6,2,0.5,7
387,White,19,<50K,Some college,4,3,0.5,7
388,White,28,Prefer not to say,High school or less,5,1,0.5,4
389,Black,27,<50K,High school or less,1,3,0.25,1
390,White,42,<50K,College degree,6,2,0.5,1
391,White,28,<50K,High school or less,6,4,0.25,7
392,White,44,<50K,High school or less,7,2,0.5,4
393,Other Race/Ethnicity,40,>100K,Post-graduate degree,4,3,0.75,2
394,White,49,$50K-100K,High school or less,7,2,0.5,7
395,White,41,$50K-100K,Post-graduate degree,6,3,1,4
396,White,60,$50K-100K,Some college,7,2,0.5,7
397,Other Race/Ethnicity,39,$50K-100K,College degree,1,1,0.75,6
398,White,57,$50K-100K,Some college,1,1,0.75,5
399,White,72,<50K,College degree,1,1,1,6
400,White,58,<50K,College degree,1,1,1,1
401,White,28,<50K,Some college,5,1,0.75,3
402,White,42,<50K,Some college,7,2,0.75,7
403,White,66,>100K,Some college,2,3,0.5,6
404,White,34,>100K,College degree,6,4,0.75,7
405,White,62,$50K-100K,College degree,3,2,0.5,4
406,White,63,$50K-100K,Some college,7,2,1,7
407,White,32,<50K,College degree,5,3,0.5,4
408,White,68,<50K,College degree,6,2,0.75,7
409,White,73,<50K,Some college,2,3,1,7
410,White,56,$50K-100K,High school or less,6,3,0.75,7
411,White,71,$50K-100K,College degree,1,2,0.75,5
412,White,30,<50K,Some college,6,4,0.25,3
413,White,68,<50K,High school or less,7,2,0,3
414,White,53,<50K,High school or less,7,2,0.25,7
415,White,51,<50K,Some college,4,4,0.25,4
416,Other Race/Ethnicity,23,$50K-100K,College degree,3,2,0,3
417,White,75,>100K,College degree,1,3,0.75,5
418,White,53,<50K,Some college,5,3,1,7
419,White,32,$50K-100K,Some college,7,3,0.5,5
420,White,42,$50K-100K,College degree,7,2,0.75,1
421,White,51,$50K-100K,Some college,1,1,0.5,2
422,White,41,<50K,High school or less,3,3,0.5,1
423,White,61,$50K-100K,College degree,6,1,0.75,7
424,White,66,$50K-100K,Post-graduate degree,7,2,1,7
425,White,58,<50K,College degree,4,3,0.75,7
426,White,66,$50K-100K,College degree,4,3,0.75,7
427,Black,59,$50K-100K,Some college,1,3,0.75,4
428,White,72,$50K-100K,Some college,3,2,0.75,7
429,Black,33,<50K,College degree,2,1,0.5,7
430,White,58,$50K-100K,College degree,1,1,1,1
431,White,62,<50K,Some college,4,4,0.75,1
432,White,75,<50K,Some college,3,2,1,5
433,White,56,>100K,Post-graduate degree,1,3,1,7
434,Other Race/Ethnicity,41,>100K,Post-graduate degree,1,1,0.75,3
435,White,67,>100K,Post-graduate degree,5,3,1,6
436,White,53,Prefer not to say,Post-graduate degree,3,3,0.5,6
437,White,62,>100K,College degree,2,3,0.25,4
438,White,55,<50K,High school or less,6,1,0.75,7
439,White,50,<50K,College degree,3,2,1,2
440,White,59,>100K,Post-graduate degree,3,2,0.5,6
441,White,59,$50K-100K,College degree,1,1,1,5
442,Black,65,<50K,Some college,1,3,0.25,7
443,White,74,<50K,High school or less,7,2,0.5,7
444,White,71,$50K-100K,College degree,7,2,0.5,5
445,White,41,$50K-100K,College degree,4,2,0.75,4
446,Other Race/Ethnicity,30,<50K,High school or less,7,2,0,1
447,Other Race/Ethnicity,53,<50K,Some college,4,3,0.75,4
448,Black,20,Prefer not to say,High school or less,4,3,0.25,2
449,White,45,$50K-100K,Post-graduate degree,7,2,0.5,3
450,Other Race/Ethnicity,58,<50K,Some college,1,1,0.25,2
451,White,35,<50K,High school or less,3,4,0.25,1
452,White,55,<50K,Some college,1,3,0.75,3
453,White,26,Prefer not to say,Post-graduate degree,5,1,0.25,3
454,Other Race/Ethnicity,37,<50K,High school or less,1,2,0.25,1
455,Black,28,$50K-100K,Some college,1,1,0.5,7
456,White,32,<50K,Some college,3,2,0.5,4
457,White,39,<50K,High school or less,2,3,0.5,4
458,Black,49,$50K-100K,High school or less,2,1,0.75,7
459,White,72,>100K,College degree,2,1,1,6
460,Other Race/Ethnicity,25,Prefer not to say,Post-graduate degree,4,4,0,4
461,White,28,<50K,Some college,3,3,0,1
462,Black,55,<50K,Some college,2,3,0.25,3
463,White,39,$50K-100K,High school or less,1,1,0.25,4
464,White,28,<50K,Some college,4,4,0.25,1
465,White,27,$50K-100K,Some college,3,3,0.75,7
466,White,39,<50K,High school or less,7,2,1,7
467,White,48,<50K,High school or less,4,4,0.25,4
468,White,70,<50K,College degree,4,3,1,7
469,White,73,<50K,College degree,4,3,1,3
470,White,77,$50K-100K,College degree,1,3,0.75,2
471,White,51,<50K,College degree,2,3,0.25,5
472,Black,22,<50K,High school or less,1,1,0.25,3
473,White,38,$50K-100K,High school or less,1,1,0.5,1
474,White,45,$50K-100K,College degree,1,1,0.5,3
475,White,59,<50K,Some college,4,3,1,7
476,Other Race/Ethnicity,68,<50K,College degree,1,1,0.75,1
477,Other Race/Ethnicity,49,>100K,Post-graduate degree,1,1,1,4
478,White,61,>100K,College degree,6,2,0.75,7
479,White,40,<50K,High school or less,5,1,0.75,3
480,Other Race/Ethnicity,72,>100K,Post-graduate degree,4,3,0.75,7
481,Hispanic/Latino,38,<50K,High school or less,2,1,0.5,3
482,White,74,>100K,Post-graduate degree,4,3,1,7
483,White,60,<50K,College degree,2,1,0.5,4
484,White,68,$50K-100K,Some college,1,3,0.25,7
485,White,28,<50K,College degree,1,1,0.25,7
486,White,28,$50K-100K,College degree,6,2,1,7
487,Hispanic/Latino,53,$50K-100K,High school or less,1,1,0,5
488,White,63,<50K,Some college,6,4,0.5,4
489,Other Race/Ethnicity,72,>100K,Post-graduate degree,2,3,1,4
490,White,42,$50K-100K,College degree,7,2,0.5,7
491,White,40,<50K,High school or less,5,4,0.5,4
492,Black,20,Prefer not to say,High school or less,4,3,0.5,4
493,White,25,<50K,College degree,2,1,0.75,3
494,White,21,<50K,High school or less,1,2,0.25,1
495,Black,28,<50K,Some college,5,3,0.25,1
496,White,82,>100K,Post-graduate degree,4,3,0.75,7
497,Other Race/Ethnicity,69,<50K,Post-graduate degree,2,3,1,4
498,White,39,<50K,High school or less,5,3,0.25,7
499,White,76,<50K,College degree,1,1,1,2
500,White,64,<50K,Some college,7,2,0.75,7
501,White,58,$50K-100K,College degree,4,2,1,7
502,White,48,<50K,College degree,1,1,0.5,7
503,Other Race/Ethnicity,38,<50K,Some college,6,2,0.5,2
504,White,60,<50K,Some college,2,1,1,4
505,White,71,<50K,High school or less,4,4,1,7
506,Other Race/Ethnicity,26,<50K,College degree,2,3,0.25,4
507,Black,77,<50K,Some college,1,1,0.75,1
508,White,72,$50K-100K,College degree,7,2,0.5,7
509,White,33,<50K,Some college,2,1,0.5,1
510,White,48,$50K-100K,College degree,5,3,1,4
511,White,68,>100K,Post-graduate degree,7,2,1,7
512,White,65,<50K,College degree,6,3,0.75,4
513,White,44,$50K-100K,College degree,6,3,0,4
514,White,63,$50K-100K,College degree,7,2,0.75,6
515,White,37,<50K,High school or less,3,2,0.75,4
